Date,ORP1,NO3,EC,NH4,CODeff,PH,DO,SS2,ORP2,SS1,COD,Ri,Re,C/N
2024/2/22 10:00,-65.45,24.87,1.04,17.72,7.46,6.16,5.12,1990.975,327.41,22.75,40.1045,1.5,0.5,6
2024/2/22 11:00,-63.895,24.86,1.04,16.76,6.09,6.16,5.31,1988,330.7,23.28,41.188,1.5,0.5,6
2024/2/22 12:00,-66.415,24.85,0.96,18.44,4.76,6.16,5.29,1996.195,328.7,23.2,42.307,1.5,0.5,6
2024/2/22 13:00,-59.875,24.79,0.91,17.92,3.52,6.16,5.26,1996.385,347.87,23.56,27.822,1.5,0.5,6
2024/2/22 14:00,-58.2625,24.74,0.93,16.11,5.73,6.16,5.53,1950.535,354.54,24,40.0875,1.5,0.5,6
2024/2/22 15:00,-50.7125,24.72,1.02,16.34,4.56,6.16,5.64,1991.085,363.13,23.15,40.5575,1.5,0.5,6
2024/2/22 16:00,-24.0925,24.7,1.09,15.61,6.58,6.16,5.71,1985.06,367.16,22.82,38.896,1.5,0.5,6
2024/2/22 17:00,-18.32,24.74,0.94,17.64,4.39,6.16,5.79,1938.47,371.4,22.22,40.2065,1.5,0.5,6
2024/2/22 18:00,-17.415,24.72,0.94,17.91,4.79,6.16,5.23,1983.315,374.95,22.38,39.0505,1.5,0.5,6
2024/2/22 19:00,-12.4725,24.74,1.03,17.23,3.9,6.16,5.57,1927.11,377.17,22,39.9215,1.5,0.5,6
2024/2/22 20:00,-11.7925,24.74,0.99,16.78,5.26,6.16,5.75,1920.705,378.48,22.96,38.922,1.5,0.5,6
2024/2/22 21:00,-10.71,24.78,1.02,18.64,5.91,6.16,5.77,1873.37,379.3,23.08,38.4995,1.5,0.5,6
2024/2/22 22:00,-9.03,24.79,1.03,17.75,6.03,6.16,5.54,1912.595,379.96,22.94,41.624,1.5,0.5,6
2024/2/22 23:00,-5.18,24.78,1.19,16.1,4.57,6.16,5.79,1896.205,380.27,22.29,37.879,1.5,0.5,6
2024/2/23 00:00,-4.8975,24.79,1.19,16.55,4.77,6.16,5.61,1913.56,380.63,25.48,41.5895,1.5,0.5,6
2024/2/23 01:00,-6.215,24.78,1.2,16.85,3.8,6.16,5.77,1889.19,380.66,22.5,41.0205,1.5,0.5,6
2024/2/23 02:00,-4.355,24.81,1.18,17.18,3.48,6.16,5.48,1900.31,380.39,24.07,40.388,1.5,0.5,6
2024/2/23 03:00,-3.225,24.81,1.21,15.3,5.34,6.16,5.64,1889.46,380,22.04,44.495,1.5,0.5,6
2024/2/23 04:00,-2.785,24.76,1.19,16.39,3.37,6.16,5.89,1933.35,379.11,23.78,26.1245,1.5,0.5,6
2024/2/23 05:00,-0.5325,24.74,0.82,16,3.25,6.16,5.81,2011.95,378.55,23.67,31.9545,1.5,0.5,6
2024/2/23 06:00,-4.9925,24.75,0.86,15.9,2.42,6.16,5.94,2012.745,379.88,21.97,39.2105,1.5,0.5,6
2024/2/23 07:00,-4.4925,24.81,0.88,15.41,1.44,6.16,5.71,2013.87,380.66,22.07,40.8065,1.5,0.5,6
2024/2/23 08:00,-4.8875,24.83,0.9,16.49,4.12,6.16,5.57,2015.455,381.12,21.86,37.522,1.5,0.5,6
2024/2/23 09:00,-4.6475,24.72,0.94,15.19,2.73,6.16,5.57,1956.455,381.4,21.84,40.5605,1.5,0.5,6
2024/2/23 10:00,-2.325,24.68,0.91,14.77,4,6.16,5.25,2053.01,381.58,22.44,40.5365,1.5,0.5,6
2024/2/23 11:00,2.2725,24.68,0.63,15.32,2.51,6.16,5.06,2038.125,382.27,22.47,41.777,1.5,0.5,6
2024/2/23 12:00,-0.335,24.73,0.71,17.11,3.67,6.16,5.57,2073.77,382.59,21.87,37.9175,1.5,0.5,6
2024/2/23 13:00,0.35,24.72,0.73,16.15,10.51,6.16,5.06,2083.39,383.14,21.76,38.853,1.5,0.5,6
2024/2/23 14:00,0.8775,24.68,0.79,18.49,1.72,6.16,6.04,2073.06,383.64,21.89,37.903,1.5,0.5,6
2024/2/23 15:00,-0.1975,24.66,0.82,16.38,6.72,6.17,5.53,2076.295,384.13,21.59,38.2945,1.5,0.5,6
2024/2/23 16:00,-20.395,24.62,0.81,16.16,2.99,6.17,5.38,2043.18,383.25,21.7,39.7625,1.5,0.5,6
2024/2/23 17:00,-9.5525,24.65,1.23,15.52,2.62,6.17,6.07,2049.2,374.78,21.63,38.672,1.5,0.5,6
2024/2/23 18:00,-25.2675,24.71,1.22,16.86,2.06,6.17,6.07,2107.565,368.03,21.84,38.295,1.5,0.5,6
2024/2/23 19:00,-29.95,24.79,1.16,17.39,0.77,6.17,5.36,2082.23,358.53,22.41,39.8395,1.5,0.5,6
2024/2/23 20:00,-32.9425,24.73,1.23,18.48,2.65,6.18,5.77,2086.455,352.86,22.35,39.02,1.5,0.5,6
2024/2/23 21:00,-31.1575,24.66,1.17,17.72,3.31,6.17,5.79,2119.245,347.34,22.53,39.574,1.5,0.5,6
2024/2/23 22:00,-31.5275,24.67,1.2,16.04,3.57,6.17,5.83,2103.205,343.64,22.33,39.935,1.5,0.5,6
2024/2/23 23:00,-34.1925,24.72,1.19,14.7,4.35,6.17,5.26,2059.49,341.36,23.75,39.8985,1.5,0.5,6
2024/2/24 00:00,-27.6775,24.75,0.97,16.16,6.21,6.16,5.58,2125.29,340.36,23.66,39.424,1.5,0.5,6
2024/2/24 01:00,-31.1825,24.72,0.99,17.77,7.21,6.16,5.92,2097.395,339.82,23,42.4455,1.5,0.5,6
2024/2/24 02:00,-31.4825,24.71,1.05,17.5,9.43,6.16,5.71,2082.645,339.34,23.2,39.275,1.5,0.5,6
2024/2/24 03:00,-35.3475,24.73,1.04,15.76,9.35,6.16,5.89,2089.725,338.62,22.82,40.0135,1.5,0.5,6
2024/2/24 04:00,-39.6775,24.75,1.01,17.63,9.95,6.16,5.73,2150.405,337.44,23.06,43.948,1.5,0.5,6
2024/2/24 05:00,-39.5425,24.82,1.03,17.38,12.34,6.16,5.71,2114.805,335.72,23.63,37.443,1.5,0.5,6
2024/2/24 06:00,-32.04,24.82,1.18,18.72,8.68,6.16,5.71,2134.325,333.87,24,37.4735,1.5,0.5,6
2024/2/24 07:00,-31.27,24.86,1.17,15.44,8.84,6.17,5.75,2193.19,331.51,26.36,38.466,1.5,0.5,6
2024/2/24 08:00,-36.365,24.81,1.16,14.98,9.51,6.17,5.38,2160.345,329.35,24.2,38.143,1.5,0.5,6
2024/2/24 09:00,-181.7275,24.73,1.8,17.79,9.81,6.17,5.71,2150.675,326.07,24.15,38.4475,1.5,0.5,6
2024/2/24 10:00,-189.9025,24.7,4.28,15.01,9.48,6.17,5.73,2136.945,323.66,24.28,37.6975,1.5,0.5,6
2024/2/24 11:00,-197.205,24.68,3.13,15.7,9.75,6.16,5.75,2150.235,321.11,24.26,35.2715,1.5,0.5,6
2024/2/24 12:00,-201.8225,24.69,2.05,17.78,9.9,6.17,5.71,2140.01,320.78,23.36,35.909,1.5,0.5,6
2024/2/24 13:00,-206.975,24.65,3.93,16.51,9.92,6.17,5.77,2175.345,320.75,23.95,37.985,1.5,0.5,6
2024/2/24 14:00,-209.8025,24.67,5.44,13.39,11.46,6.17,5.58,2206.425,316.24,23.7,35.1485,1.5,0.5,6
2024/2/24 15:00,-210.88,24.68,3.13,14.6,8.61,6.17,5.57,2161.48,313.02,23.19,36.6265,1.5,0.5,6
2024/2/24 16:00,-212.5075,24.65,5.58,19.05,9.44,6.17,5.58,2190.905,310.74,23.49,35.6275,1.5,0.5,6
2024/2/24 17:00,-213.81,24.61,1.31,19.21,8.57,6.17,5.57,2131.165,305.86,24.16,35.576,1.5,0.5,6
2024/2/24 18:00,-212.0075,24.62,20,15.33,9.58,6.17,5.57,2143.11,307.26,25.3,35.2335,1.5,0.5,6
2024/2/24 19:00,-213.83,24.58,20,15.28,12.11,6.17,5.58,2129.55,304.53,23.6,37.4695,1.5,0.5,6
2024/2/24 20:00,-215.1725,24.61,20,18.55,9.63,6.16,5.58,2129.625,303.08,23.59,35.2775,1.5,0.5,6
2024/2/24 21:00,-215.63,24.54,20,15.57,10.1,6.18,5.71,2134.185,302.51,24.54,38.6685,1.5,0.5,6
2024/2/24 22:00,-216.2225,24.45,20,16.22,10.05,6.17,5.61,2159.78,301.55,22.99,36.3765,1.5,0.5,6
2024/2/24 23:00,-216.925,24.37,1.28,16.82,10.33,6.17,5.69,2143.985,299.44,23.42,34.7695,1.5,0.5,6
2024/2/25 00:00,-214.92,24.39,1.43,14.96,15.08,6.18,5.75,2126.285,298.35,23.19,37.6125,1.5,0.5,6
2024/2/25 01:00,-216.2925,24.47,2.47,17.08,16.83,6.16,5.77,2167.67,297.21,23.25,41.353,1.5,0.5,6
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
